id,user_id,raw_text,created_at
1,11,"Professional with experience in React, JavaScript, Material UI, UI Development.",2024-01-04 00:00:00
2,12,"Professional with experience in ETL, SQL, Python, Data Pipelines.",2024-01-09 00:00:00
3,13,"Professional with experience in Python, Java, Software Development.",2024-01-21 00:00:00
4,14,"Professional with experience in React, Node.js, Python, APIs, Databases.",2024-01-20 00:00:00
5,15,"Professional with experience in ETL, SQL, Python, Data Pipelines.",2024-01-26 00:00:00
6,16,"Professional with experience in ETL, SQL, Python, Data Pipelines.",2024-01-14 00:00:00
7,17,"Professional with experience in Selenium, Python, Automation Testing.",2024-01-11 00:00:00
8,18,"Professional with experience in Docker, Kubernetes, CI/CD, AWS.",2024-01-10 00:00:00
9,19,"Professional with experience in SQL, Python, Pandas, Data Visualization.",2024-01-21 00:00:00
10,20,"Professional with experience in ETL, SQL, Python, Data Pipelines.",2024-01-20 00:00:00
11,21,"Professional with experience in ETL, SQL, Python, Data Pipelines.",2024-01-17 00:00:00
12,22,"Professional with experience in Python, NLP, Machine Learning, Embeddings.",2024-01-21 00:00:00
13,23,"Professional with experience in React, JavaScript, Material UI, UI Development.",2024-01-22 00:00:00
14,24,"Professional with experience in AWS, Azure, Cloud Infrastructure.",2024-01-27 00:00:00
15,25,"Professional with experience in Python, Java, Software Development.",2024-01-31 00:00:00
16,26,"Professional with experience in ETL, SQL, Python, Data Pipelines.",2024-01-07 00:00:00
17,27,"Professional with experience in Python, FastAPI, Django, PostgreSQL, REST APIs.",2024-01-01 00:00:00
18,28,"Professional with experience in AWS, Azure, Cloud Infrastructure.",2024-01-11 00:00:00
19,29,"Professional with experience in React, JavaScript, Material UI, UI Development.",2024-01-05 00:00:00
20,30,"Professional with experience in Python, Java, Software Development.",2024-01-07 00:00:00
21,31,"Professional with experience in Docker, Kubernetes, CI/CD, AWS.",2024-01-08 00:00:00
22,32,"Professional with experience in React, Node.js, Python, APIs, Databases.",2024-01-05 00:00:00
23,33,"Professional with experience in ETL, SQL, Python, Data Pipelines.",2024-01-12 00:00:00
24,34,"Professional with experience in Python, Java, Software Development.",2024-01-14 00:00:00
25,35,"Professional with experience in React, Node.js, Python, APIs, Databases.",2024-01-20 00:00:00
26,36,"Professional with experience in React, JavaScript, Material UI, UI Development.",2024-01-12 00:00:00
27,37,"Professional with experience in AWS, Azure, Cloud Infrastructure.",2024-01-13 00:00:00
28,38,"Professional with experience in AWS, Azure, Cloud Infrastructure.",2024-01-04 00:00:00
29,39,"Professional with experience in React, Node.js, Python, APIs, Databases.",2024-01-25 00:00:00
30,40,"Professional with experience in React, JavaScript, Material UI, UI Development.",2024-01-05 00:00:00
31,41,"Professional with experience in Python, NLP, Machine Learning, Embeddings.",2024-01-16 00:00:00
32,42,"Professional with experience in ETL, SQL, Python, Data Pipelines.",2024-01-27 00:00:00
33,43,"Professional with experience in Docker, Kubernetes, CI/CD, AWS.",2024-01-19 00:00:00
34,44,"Professional with experience in Selenium, Python, Automation Testing.",2024-01-19 00:00:00
35,45,"Professional with experience in ETL, SQL, Python, Data Pipelines.",2024-01-23 00:00:00
36,46,"Professional with experience in React, JavaScript, Material UI, UI Development.",2024-01-05 00:00:00
37,47,"Professional with experience in Python, NLP, Machine Learning, Embeddings.",2024-01-08 00:00:00
38,48,"Professional with experience in React, JavaScript, Material UI, UI Development.",2024-01-17 00:00:00
39,49,"Professional with experience in Python, FastAPI, Django, PostgreSQL, REST APIs.",2024-01-05 00:00:00
40,50,"Professional with experience in ETL, SQL, Python, Data Pipelines.",2024-01-29 00:00:00
